id,symbol,base_asset,source_list,events_total,events_strong,events_effective,events_fake,events_neutral,hit_rate_pct,eff_rate_pct,best_72h_pct,worst_dd_72h_pct,avg_strong_return,tier,tier_updated,in_watchlist,notes,created_at,updated_at
2,PIPPINUSDT,PIPPIN,bn_alpha,1123,215,366,376,166,51.74,51.736420302760465,202.42,-75.89,0.0,A,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
3,RIVERUSDT,RIVER,bn_alpha,569,159,223,156,31,67.14,67.13532513181019,269.66,-72.78,0.0,A,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
5,SIRENUSDT,SIREN,bn_alpha,483,117,246,82,38,75.16,75.15527950310559,249.94,-90.86,0.0,A,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
4,MUSDT,M,bn_alpha,486,120,160,69,137,57.61,57.61316872427984,378.72,-51.03,0.0,A,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
8,MYXUSDT,MYX,bn_alpha,415,82,148,165,20,55.42,55.42168674698795,555.67,-68.56,0.0,A,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
7,COAIUSDT,COAI,bn_alpha,308,99,102,107,0,65.26,65.25974025974025,252.96,-76.54,0.0,A,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
6,RAVEUSDT,RAVE,bn_alpha,187,108,38,41,0,78.07,78.07486631016043,796.41,-98.25,0.0,A,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
12,POWERUSDT,POWER,bn_alpha,153,54,63,31,5,76.47,76.47058823529412,454.46,-94.01,0.0,A,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
13,HUSDT,H,bn_alpha,231,49,67,105,9,50.22,50.21645021645021,289.85,-59.15,0.0,A,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
14,LABUSDT,LAB,bn_alpha,125,39,70,12,4,87.2,87.2,247.09,-74.02,0.0,A,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
22,UAIUSDT,UAI,bn_alpha,123,20,88,10,5,87.8,87.8048780487805,208.77,-35.5,0.0,A,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
19,ARIAUSDT,ARIA,bn_alpha,116,23,84,4,5,92.24,92.24137931034483,476.98,-91.78,0.0,A,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
9,SOONUSDT,SOON,bn_alpha,548,82,137,240,89,39.96,39.96350364963504,171.64,-56.85,0.0,B,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
11,BEATUSDT,BEAT,bn_alpha,265,66,89,110,0,58.49,58.490566037735846,149.76,-69.78,0.0,B,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
10,LUNA2USDT,LUNA2,bn_alpha,335,79,61,100,95,41.79,41.7910447761194,146.83,-33.7,0.0,B,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
15,PIEVERSEUSDT,PIEVERSE,bn_alpha,177,34,62,53,28,54.24,54.23728813559322,196.54,-57.27,0.0,B,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
33,CLOUSDT,CLO,bn_alpha,160,5,85,53,17,56.25,56.25,125.56,-59.45,0.0,B,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
29,IPUSDT,IP,bn_alpha,357,10,78,95,174,24.65,24.649859943977592,106.77,-41.04,0.0,B,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
53,TRUSTUSDT,TRUST,bn_alpha,176,1,87,72,16,50.0,50.0,104.49,-59.56,0.0,B,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
38,MERLUSDT,MERL,bn_alpha,216,3,84,76,53,40.28,40.27777777777778,144.58,-47.01,0.0,B,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
21,FOLKSUSDT,FOLKS,bn_alpha,147,21,51,75,0,48.98,48.97959183673469,229.88,-79.32,0.0,B,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
24,AIOTUSDT,AIOT,bn_alpha,137,17,54,36,30,51.82,51.82481751824818,131.95,-67.16,0.0,B,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
23,LYNUSDT,LYN,bn_alpha,132,19,46,62,5,49.24,49.24242424242424,118.71,-81.85,0.0,B,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
28,SQDUSDT,SQD,bn_alpha,169,14,50,69,36,37.87,37.8698224852071,183.85,-49.03,0.0,B,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
26,JELLYJELLYUSDT,JELLYJELLY,bn_alpha,85,16,44,17,8,70.59,70.58823529411765,132.69,-52.31,0.0,B,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
17,BULLAUSDT,BULLA,bn_alpha,71,28,25,18,0,74.65,74.64788732394366,522.89,-96.78,0.0,B,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
20,LIGHTUSDT,LIGHT,bn_alpha,67,22,26,13,6,71.64,71.64179104477611,126.58,-81.94,0.0,B,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
18,TRADOORUSDT,TRADOOR,bn_alpha,37,24,8,4,1,86.49,86.48648648648648,172.62,-90.81,0.0,B,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
27,PTBUSDT,PTB,bn_alpha,57,16,16,22,3,56.14,56.14035087719298,125.0,-52.75,0.0,B,2026-06-07 09:23:05,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
1,AIAUSDT,AIA,bn_alpha,247,238,3,6,0,97.57,97.57085020242914,56.91,-47.67,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
42,DRIFTUSDT,DRIFT,bn_alpha,155,2,81,59,13,53.55,53.5483870967742,70.95,-46.85,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
25,VVVUSDT,VVV,bn_alpha,177,16,66,50,45,46.33,46.32768361581921,94.69,-26.24,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
54,ZORAUSDT,ZORA,bn_alpha,232,1,74,73,84,32.33,32.327586206896555,55.35,-53.75,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
31,ICNTUSDT,ICNT,bn_alpha,138,8,66,42,22,53.62,53.62318840579711,73.64,-36.46,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
16,WETUSDT,WET,bn_alpha,119,32,40,33,14,60.5,60.50420168067227,74.44,-34.82,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
69,STABLEUSDT,STABLE,bn_alpha,141,0,54,35,52,38.3,38.297872340425535,43.59,-42.73,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
43,AZTECUSDT,AZTEC,bn_alpha,140,2,50,79,9,37.14,37.142857142857146,61.79,-35.33,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
44,XANUSDT,XAN,bn_alpha,84,2,35,37,10,44.05,44.047619047619044,97.39,-75.06,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
45,BIRBUSDT,BIRB,bn_alpha,114,2,35,50,27,32.46,32.45614035087719,55.16,-45.75,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
55,MOODENGUSDT,MOODENG,bn_alpha,156,1,35,41,79,23.08,23.076923076923077,78.2,-29.48,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
70,1000000BOBUSDT,1000000BOB,bn_alpha,55,0,31,21,3,56.36,56.36363636363636,45.69,-53.08,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
71,ELSAUSDT,ELSA,bn_alpha,106,0,30,65,11,28.3,28.30188679245283,38.7,-46.13,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
72,SKRUSDT,SKR,bn_alpha,106,0,27,55,24,25.47,25.471698113207548,39.01,-49.45,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
73,PRLUSDT,PRL,bn_alpha,48,0,26,19,3,54.17,54.166666666666664,32.74,-29.26,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
74,AERGOUSDT,AERGO,bn_alpha,93,0,24,29,40,25.81,25.806451612903224,35.83,-29.82,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
75,FIGHTUSDT,FIGHT,bn_alpha,33,0,23,8,2,69.7,69.6969696969697,44.99,-45.34,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
46,1000LUNCUSDT,1000LUNC,bn_alpha,84,2,19,23,40,25.0,25.0,147.05,-37.14,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
30,PLAYUSDT,PLAY,bn_alpha,28,9,9,9,1,64.29,64.28571428571429,103.89,-53.65,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
47,TRUTHUSDT,TRUTH,bn_alpha,25,2,16,4,3,72.0,72.0,160.57,-39.28,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
48,BTRUSDT,BTR,bn_alpha,32,2,15,15,0,53.12,53.125,71.6,-55.25,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
76,DOODUSDT,DOOD,bn_alpha,149,0,17,56,76,11.41,11.409395973154362,47.31,-53.92,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
32,GUAUSDT,GUA,bn_alpha,26,6,10,10,0,61.54,61.53846153846154,215.8,-86.14,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
56,MONUSDT,MON,bn_alpha,42,1,15,8,18,38.1,38.095238095238095,61.94,-18.64,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
77,INUSDT,IN,bn_alpha,61,0,16,27,18,26.23,26.229508196721312,32.87,-33.71,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
49,我踏马来了USDT,我踏马来了,bn_alpha,21,2,12,6,1,66.67,66.66666666666666,55.81,-61.08,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
35,BASEDUSDT,BASED,bn_alpha,31,4,9,16,2,41.94,41.935483870967744,304.09,-34.61,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
39,FHEUSDT,FHE,bn_alpha,17,3,10,4,0,76.47,76.47058823529412,68.87,-57.23,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
40,RECALLUSDT,RECALL,bn_alpha,34,3,10,13,8,38.24,38.23529411764706,116.13,-31.97,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
57,AINUSDT,AIN,bn_alpha,19,1,12,4,2,68.42,68.42105263157895,55.05,-34.44,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
58,SONICUSDT,SONIC,bn_alpha,28,1,12,4,11,46.43,46.42857142857143,54.39,-23.18,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
78,SPXUSDT,SPX,bn_alpha,39,0,13,15,11,33.33,33.33333333333333,27.27,-32.37,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
79,IRYSUSDT,IRYS,bn_alpha,105,0,13,68,24,12.38,12.380952380952381,33.21,-42.58,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
80,TOSHIUSDT,TOSHI,bn_alpha,48,0,12,15,21,25.0,25.0,24.43,-18.82,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
41,AKEUSDT,AKE,bn_alpha,11,3,8,0,0,100.0,100.0,71.28,-38.55,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
81,GRASSUSDT,GRASS,bn_alpha,42,0,11,11,20,26.19,26.190476190476193,47.52,-27.3,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
82,HANAUSDT,HANA,bn_alpha,10,0,10,0,0,100.0,100.0,47.86,-39.45,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
83,PROMPTUSDT,PROMPT,bn_alpha,31,0,10,17,4,32.26,32.25806451612903,34.34,-39.6,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
84,AEROUSDT,AERO,bn_alpha,37,0,10,11,16,27.03,27.027027027027028,25.47,-23.35,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
50,BSBUSDT,BSB,bn_alpha,19,2,7,9,1,47.37,47.368421052631575,75.95,-42.08,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
85,MELANIAUSDT,MELANIA,bn_alpha,18,0,9,6,3,50.0,50.0,23.93,-18.04,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
36,EDGEUSDT,EDGE,bn_alpha,9,4,4,0,1,88.89,88.88888888888889,78.65,-16.49,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
86,CLANKERUSDT,CLANKER,bn_alpha,14,0,8,3,3,57.14,57.14285714285714,46.5,-44.65,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
87,SLXUSDT,SLX,bn_alpha,22,0,8,13,1,36.36,36.36363636363637,24.66,-53.99,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
88,1000FLOKIUSDT,1000FLOKI,bn_alpha,38,0,8,5,25,21.05,21.052631578947366,31.42,-18.77,0.0,C,,0,,2026-06-07 09:22:32,2026-06-07 09:22:32
